,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,Count,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,ProbeNumTxCycles
138,117,74,14L5,B,1,1,20,0,0.75,19,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1,2,1,20,4705900,1.29
139,118,75,14L5,B,1,1,20,0,1.0,25,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
140,119,76,14L5,B,1,1,20,0,1.5,38,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
141,120,77,14L5,B,1,1,20,0,2.25,56,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
142,121,78,14L5,B,1,1,20,0,3.5,88,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
143,122,79,14L5,B,1,1,20,0,5.25,131,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
144,123,161,14L5,B,1,1,20,0,7.0,175,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1,2,1,20,4705900,1.29
145,124,56,14L5,B,1,1,17,0,0.25,6,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000,1.3
146,125,57,14L5,B,1,1,17,0,0.5,13,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000,1.3
147,126,58,14L5,B,1,1,17,0,0.75,19,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000,1.3
148,127,59,14L5,B,1,1,17,0,1.0,25,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
149,128,60,14L5,B,1,1,17,0,1.5,38,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
150,129,61,14L5,B,1,1,17,0,2.25,56,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
151,130,62,14L5,B,1,1,17,0,3.5,88,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
152,131,63,14L5,B,1,1,17,0,5.25,131,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
153,132,159,14L5,B,1,1,17,0,7.0,175,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000,1.3
154,133,88,14L5,B,1,1,23,0,0.25,6,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300,1.36
155,134,89,14L5,B,1,1,23,0,0.5,13,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300,1.36
156,135,90,14L5,B,1,1,23,0,0.75,19,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300,1.36
157,136,91,14L5,B,1,1,23,0,1.0,25,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300,1.36
158,137,92,14L5,B,1,1,23,0,1.5,38,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300,1.36
159,138,93,14L5,B,1,1,23,0,2.25,56,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300,1.36
160,139,94,14L5,B,1,1,23,0,3.5,88,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300,1.36
161,140,95,14L5,B,1,1,23,0,5.25,131,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300,1.36
162,32,323,14L5,Cb,0,5,26,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700,3.0
163,33,324,14L5,Cb,0,5,26,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700,3.0
164,34,325,14L5,Cb,0,5,26,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700,3.0
165,35,326,14L5,Cb,0,5,26,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700,3.0
166,36,327,14L5,Cb,0,5,26,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700,3.0
167,37,328,14L5,Cb,0,5,26,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700,3.0
168,38,329,14L5,Cb,0,5,26,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700,3.0
