measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,3,90,90,56.04,20,8,43,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,4,90,90,56.04,20,8,45,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,6,90,90,56.04,20,8,49,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,8,90,90,56.04,20,8,50,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
