index,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,TxPulseRle,VTxIndex,elevAperIndex,SystemPulserSel,bsIndexTrace,TxFrequencyHz,probeId,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,profTxVoltageVolt,zMeasNum,zt_est
129,5,14,2,6.0,51,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.2
130,5,14,2,8.0,56,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.2
131,5,14,2,9.5,60,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
132,5,14,2,11.0,62,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,3.6
133,5,14,2,13.0,65,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
134,5,14,2,14.5,67,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
135,5,14,2,19.0,71,4.0,0,0,0,0.0,0,0,0,0,3333300,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
136,5,19,2,4.0,42,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.9
137,5,19,2,6.0,51,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,3.9
138,5,19,2,8.0,56,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.0
