,ISTXCHANNELMODULATIONEN,PROBENUMTXCYCLES,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXPULSERLE,ELEVAPERINDEX,TXFOCUSLOCCM,NUMTXELEMENTS,size
216,1,4.0,22,1,0,1,3.5,44,1
217,1,4.0,22,1,0,1,5.25,66,1
218,1,4.0,24,1,0,0,0.25,3,1
219,1,4.0,24,1,0,0,0.5,6,1
220,1,4.0,24,1,0,0,0.75,9,1
221,1,4.0,24,1,0,1,1.0,13,1
222,1,4.0,24,1,0,1,1.5,19,1
223,1,4.0,24,1,0,1,2.25,28,1
224,1,4.0,24,1,0,1,3.5,44,1
225,1,4.0,24,1,0,1,5.25,66,1
