,measSetId,probeId,beamstyleIndex,txFrequencyHz,focusRangeCm,numTxElements,txpgWaveformStyle,numTxCycles,elevAperIndex,IsTxAperModulationEn,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1,measResId,zt,RankNo
2867,8803,11289564,1,3809500.0,2.0,65,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9358,1.2999999523162842,1
2868,8804,11289564,1,3809500.0,3.0,71,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9360,1.399999976158142,1
2869,8805,11289564,1,3809500.0,4.0,76,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9361,1.399999976158142,1
2870,8806,11289564,1,3809500.0,6.0,84,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9362,1.5,1
2871,8807,11289564,1,3809500.0,8.0,86,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9363,1.5,1
2872,9159,11289565,0,3333300.0,2.0,10,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10796,4.800000190734863,1
2873,9160,11289565,0,3333300.0,4.0,20,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10797,4.599999904632568,1
2874,9161,11289565,0,3333300.0,4.800000190734863,24,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10798,4.400000095367432,1
2875,9162,11289565,0,3333300.0,6.0,30,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10799,4.400000095367432,1
2876,9163,11289565,0,3333300.0,8.0,40,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10800,4.099999904632568,1
2877,9164,11289565,0,3333300.0,9.5,46,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10801,4.0,1
