,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
42,B,3,1,7,1,6,60,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0,4.8
43,B,3,1,7,1,8,64,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,115.0,4.4
44,B,3,1,7,1,10,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.4
45,B,3,1,7,1,12,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.3
46,B,3,1,7,1,15,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.4
47,B,3,1,7,1,18,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.5
48,B,2,1,7,1,2,30,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,45.0,4.4
49,B,2,1,7,1,4,44,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0,4.4
50,B,2,1,7,1,6,60,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0,4.8
51,B,2,1,7,1,8,64,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,115.0,4.4
52,B,2,1,7,1,10,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.4
53,B,2,1,7,1,12,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.3
54,B,2,1,7,1,15,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.4
55,B,2,1,7,1,18,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.5
56,B,3,1,7,1,2,30,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,45.0,4.5
57,B,3,1,7,1,4,44,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0,4.3
58,B,3,1,7,1,6,60,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0,3.9
59,B,3,1,7,1,8,64,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,115.0,4.5
60,B,3,1,7,1,10,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.3
61,B,3,1,7,1,12,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.2
62,B,3,1,7,1,15,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.3
63,B,3,1,7,1,18,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0,4.3
64,B,2,1,7,1,2,30,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,45.0,4.5
65,B,2,1,7,1,4,44,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0,4.3
66,B,2,1,7,1,6,60,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0,3.9
67,B,2,1,7,1,8,64,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,115.0,4.5
68,B,2,1,7,1,10,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.3
69,B,2,1,7,1,12,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.2
70,B,2,1,7,1,15,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.3
71,B,2,1,7,1,18,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0,4.3
